Day,RFD,BPD,TRD_hi,TRD_lo,WRD
1,0.12,29.78,70.9,22.6,6
2,0,30.43,37.3,17.5,7
3,0,30.47,53.5,25.1,3
4,0,30.1,62.3,33.2,6
5,0,29.97,60.3,38.9,4
6,0,30.18,40.2,26.5,6
7,0,30.26,47,21.1,5
8,0.01,30.03,62.6,45.6,6
9,0.01,30.31,61.9,39.1,6
10,0,30.68,54.7,31.2,3
11,0,30.55,60.3,30.8,3
12,0,30.31,62.7,37.1,3
13,0,30.16,73.4,40.9,2
14,0,29.9,73.2,44.5,6
15,0,30.16,53.9,29.4,11
16,0,30.17,50.7,27.4,3
17,0,30.16,62.7,31.8,3
18,0,29.91,72.4,44.6,9
19,0,30.01,61.4,32.5,8
20,0,30.52,36.6,22.9,8
21,0,30.5,43,20,3
22,0,30.5,50.6,25,2
23,0,30.23,64.3,32.8,3
24,0,29.95,58.8,40,3
25,0,30.15,59.9,35.7,6
26,0,30.39,48.7,28.4,5
27,0,30.35,50,33,2
28,0,30.51,55.9,31.7,4
29,0,30.31,67.1,33.3,3
30,0,30.12,69.7,41.6,4
31,0,30,70,44.8,6
32,0,29.87,70.5,54.4,6
33,0.64,29.96,58.8,31.1,5
34,0.02,30.28,31.6,18.8,0
35,0.23,30.64,34.2,19,0
36,0.34,30.53,47.8,22,3
37,0.04,30.29,56.4,27.5,2
38,0,30.41,58.1,34.3,4
39,0,30.23,67.1,37.2,5
40,0,30.12,70.1,35.2,2
41,0,30.09,73.2,42,2
42,0,29.94,76.6,47,5
43,0,30.4,55.1,29.8,7
44,0,30.45,64.3,27.9,3
45,0,30.28,73.4,36,4
46,0,30.14,71.1,43.5,10
47,0.19,29.89,66.8,59.9,11
48,0.07,30.06,66.3,31.4,9
49,0,30.41,53.3,24.6,2
50,0,30.41,66.6,33,3
51,0,30.13,67.6,39.4,7
52,0.02,29.84,82.4,55.6,8
53,0.42,30.04,69.9,31.6,6
54,0.01,30.39,31.6,22.5,6
55,0,30.33,29,21.5,4
56,0.05,30.55,37.8,21.2,5
57,0.02,30.47,39.7,33.1,3
58,0,30.46,57.2,30.6,3
59,0,30.35,66.7,31,2
60,0,30.22,73.6,38.3,2
61,0,30.18,79.8,41.6,2
62,0,30.16,79.7,44.8,3
63,0,30.08,72.8,55,7
64,0,29.93,78.9,64,10
65,0.14,29.93,77.6,39,8
66,0.1,30.28,51,35.6,7
67,0.03,30.18,47,32.2,4
68,0,30.1,59.7,28.5,2
69,0,30.01,67.2,38.3,4
70,0.01,30.22,42.6,30.7,9
71,0,30.46,57,25.9,3
72,0,30.25,66.6,37.7,8
73,0.01,30.03,75.5,49.8,8
74,0,30.14,71.1,47.3,4
75,0,29.99,80.5,47.3,4
76,0.07,29.75,77.6,55.6,10
77,0,29.99,64.7,46.2,9
78,0,30.2,76.4,41.4,3
79,0,30.13,81.6,54.2,8
80,1.48,29.78,70.9,55.9,9
81,0,29.79,57,46.6,7
82,0,29.98,62.5,45,6
83,0,30.05,71.3,36.8,3
84,0,30.11,81.8,60.1,3
85,0,30.04,84.7,50.2,5
86,0,29.93,90.5,53.3,6
87,0,29.92,85,58.7,9
88,0,29.7,79.7,66.1,13
89,0.97,29.59,73.5,45.1,7
90,0,29.9,68.7,43.4,3
91,0,30,74.3,44.6,7
92,0.01,30.03,76.9,50.5,4
93,0,29.93,84.9,54.6,6
94,2.07,29.76,79.3,60.5,7
95,0.14,29.56,93.7,58.2,5
