Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
230000075-120,230000075,1/1/2023,ROBBERY PERSON,1/1/2023 6:40,120,PC 29.03 Agg Robbery,STRONG AVE,FORT WORTH,TX,B18,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230000255-13A,230000255,1/1/2023,AG ASSAULT,1/1/2023 23:18,13A,PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,SOUTHEAST LOOP 820 FWY & CAMPUS DR,FORT WORTH,TX,I17,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230000271-23H,230000271,1/2/2023,THEFT,1/2/2023 1:46,23H,GC  085-07 Theft under $100,1500 SANDY LN,FORT WORTH,TX,H15,East,5,C,20,20 RESIDENCE/HOME,"(32.756615944119325, -97.19846224065931)"
230000901-240,230000901,1/4/2023,AUTO THEFT,1/4/2023 11:39,240,PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,3700 E ROSEDALE ST,FORT WORTH,TX,G12,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.731243580335516, -97.27055302821654)"
230000329-23F,230000329,1/2/2023,BURGLARY VEHICLE,1/1/2023 17:00,23F,PC 30.04(A) Burglary Vehicle,9400 SUNDIAL DR,FORT WORTH,TX,E14,North,4,C,20,20 RESIDENCE/HOME,"(32.91083278047585, -97.29688381128301)"
230000506-35A,230000506,1/2/2023,NARCOTIC VIOLATIONS,1/2/2023 21:01,35A,HSC 481.121(B)(1) Poss Marij <=2OZ,E SEMINARY DR & SOUTH FWY SR NB,FORT WORTH,TX,I12,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,
230000521-13B,230000521,1/2/2023,ASSAULT,1/2/2023 22:57,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,1200 TERMINAL RD,FORT WORTH,TX,C14,Northwest,2,C,7,07 CONVENIENCE STORE,"(32.817599547473456, -97.34060537003657)"
230000155-23F,230000155,1/1/2023,BURGLARY VEHICLE,1/1/2023 2:00,23F,PC 30.04(A) Burglary Vehicle,100 E ALTAMESA BLVD,FORT WORTH,TX,I17,South,8,A,14,14 HOTEL/MOTEL/ETC.,"(32.653235182842906, -97.32035076058979)"
230000936-13A,230000936,1/4/2023,AG ASSAULT,1/4/2023 12:45,13A,PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,5900 CROWDER DR,FORT WORTH,TX,D14,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.8404156653814, -97.42013947604606)"
230000271-35B,230000271,1/2/2023,THEFT,1/2/2023 1:46,35B,GC 084 Possession of Drug Paraphenalia,1500 SANDY LN,FORT WORTH,TX,H15,East,5,C,20,20 RESIDENCE/HOME,"(32.756615944119325, -97.19846224065931)"
230000742-35A,230000742,1/3/2023,NARCOTIC VIOLATIONS,1/3/2023 18:37,35A,HSC 481.115(B) Poss CS PG 1 <1G,2300 WARD AVE,FORT WORTH,TX,G11,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.745680205584144, -97.28758515150335)"
230000901-26A,230000901,1/4/2023,AUTO THEFT,1/4/2023 11:39,26A,PC 31.16(C)(3)  2015 Organized Retail Theft>=750<2,3700 E ROSEDALE ST,FORT WORTH,TX,G12,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.731243580335516, -97.27055302821654)"
230000901-520,230000901,1/4/2023,AUTO THEFT,1/4/2023 11:39,520,PC 46.02(e)(1) UNLAWFUL CARRY WEAPON W/ FELONY CON,3700 E ROSEDALE ST,FORT WORTH,TX,G12,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.731243580335516, -97.27055302821654)"
