ADDRESS,ZIPCODE,LAST_UPDATE_DATE,YEAR,NPA_NAME,LATITUDE,LONGITUDE,Location_1,SCHOOL_DISTRICT,POPULATION_2010,MEDIAN_AGE,PCT_UNDER_18,PCT_OVER_65,PCT_HIGHSCHOOL_DIPLOMA,PCT_UNEMPLOYED,TOTAL_JOBS_AREA,MEDIAN_HOUSEHOLD_INCOME,PCT_RENTING,PCT_VACANT,PCT_FORECLOSURES,MEDIAN_HOUSE_AGE,SUB_STANDARD_STRUCTURE_COMPLAINTS,CRIMES_PROPERTY,CRIMES_PEOPLE,UNINSURED_RATE,SCHOOL_SUBSIDIZED_MEALS,COMMERCIAL_BLD_PERMITS,RESIDENTIAL_BLD_PERMITS,REPORTED_S,EMERGENCY_,PCT_POOR_STREETS,SANITARY_SEWER_OVERFLOW_RATE,PCT_NEAR_GROCERY_STORE,PCT_NEAR_PARK,PCT_NEAR_LIBRARY,PCT_VOTER_TURNOUT
3027 PHEASANT GLEN,76140,55:25.3,2017,Far South,32.6393,-97.2731,"(32.6393,-97.2731)",EVERMAN ISD,19907,41,0.2222139,0.11956379,0.86322724,0.08072971,431,70333,0.21869708,0.10323791,0,28,2,39.37592868,23.03120357,0.19133536,5.87679407,0,2,7,0,0,4,0,0,0.0087215,0
13499 QUAIL MEADOW DR,76008,55:25.3,2017,Walsh Ranch,32.7242,-97.5576,"(32.7242,-97.5576)",ALEDO ISD,1895,51,0.19410836,0.10520779,0.99029126,0.08003518,2,129333,0.07866667,0.0396927,0,21,0,0,0,0.05155182,1.67246278,2,1,0,0,0,0,0,0,0,0
2765 HWY 114,76247,55:25.3,2017,TMS\ Alliance Airport,33.0327,-97.2955,"(33.0327,-97.2955)",NORTHWEST ISD,785,36,0.18811881,0.08044554,0.95867769,0.04262877,6216,93056,0.15068493,0.18207283,0,11,0,124.3093923,19.33701657,0.11881188,1.3463195,21,2,1,0,0.01219732,4,0,0,0,0
1737 CHRISTOPHER DR,76140,55:25.3,2017,Garden Acres,32.6214,-97.2989,"(32.6214,-97.2989)",EVERMAN ISD,6210,28,0.38972942,0.05766229,0.81536878,0.05804248,4235,62062,0.31814807,0.08599733,0,16,10,51.71079114,16.25638644,0.18875372,7.29824409,7,47,3,0,0.01646722,0,0,0.61239936,0,0
7413 FIORE DR,76123,55:25.3,2017,Benbrook Lake\ ETJ,32.6416,-97.4206,"(32.6416,-97.4206)",CROWLEY ISD,3792,47,0.22830663,0.20604739,0.94278542,0.03254425,7,87739,0.18454889,0.06532265,0,15,0,0,0,0.03374908,4.67686105,0,18,0,0,0,0,0,0.04598309,0,0
1724 STAR FLEET DR,76052,55:25.3,2017,Wise County\ ETJ,32.9919,-97.3996,"(32.9919,-97.3996)",NORTHWEST ISD,3123,30,0.3506707,0.06815366,0.89705666,0.062,0,72687,0.28151758,0.03675819,0,16,0,0,0,0.08388009,1.40103437,0,0,0,0,0,0,0.03855358,0,0,0
12308 SILVERMIST TR,76028,55:25.3,2017,Thomas Crossing,32.5777,-97.2953,"(32.5777,-97.2953)",BURLESON ISD,1881,35,0.28148812,0.10219632,0.94409504,0.09577222,741,67952,0.0738423,0.01113861,0,14,3,61.65228113,7.80928894,0.14926042,4.47977844,3,10,0,0,0,8,0,0.12068049,0,0
912 PONCHO LN,76052,55:25.3,2017,Sendera Ranch,32.9872,-97.3779,"(32.9872,-97.3779)",NORTHWEST ISD,11436,32,0.34849861,0.05593137,0.97358988,0.03333507,4675,95087,0.1512821,0.05373063,0,12,1,20.89209234,8.35683694,0.03925921,1.19850951,8,142,2,0,0.10146396,0,0.12141979,0.10349675,0,0
SH 114,76247,55:25.3,2016,Harriet Creek Ranch,33.046,-97.3314,"(33.046,-97.3314)",NORTHWEST ISD,6620,31,0.32320291,0.04749773,0.24798808,0.04588113,198,86556,0.18499353,0.02583491,0,11,1,10.2223358,3.57781753,0.15710306,0,0,3,0,17,0,0,0,0.57960123,0,0
5320 PLATT CT,76137,55:25.3,2017,Park Glen,32.872,-97.2694,"(32.872,-97.2694)",,23093,34,0.30549499,0.05669743,0.9566117,0.06312631,1627,96977,0.17886882,0.04690471,0,19,3,12.29339692,3.16585807,0.06840285,3.82728387,4,112,3,0,0.00546596,2,0.98588317,0.88541982,0.44840428,0
4132 IRIS AVE,76137,55:25.3,2017,Summerfields,32.8861,-97.2971,"(32.8861,-97.2971)",KELLER ISD,21706,32,0.28400465,0.05289151,0.89962664,0.05518233,2447,67754,0.35891593,0.02867792,0,26,12,16.49201928,4.59831101,0.17252942,5.57901726,5,129,14,0,0.00282656,0,0.67907491,1,1,0
4400 DEEN RD,76106,55:25.3,2017,Meacham,32.8229,-97.3234,"(32.8229,-97.3234)",FORT WORTH ISD,870,28,0.21487603,0.04569762,0.5660066,0.0771028,15471,36063,0.27234043,0.19520548,0,58,3,253.6687631,72.32704403,0.30952381,8.41322386,20,1,2,0,0.0741309,0,0.53793103,0.53793103,0.53793103,0
4013 TORTOISE LN,76135,55:25.3,2017,Far West,32.8274,-97.5094,"(32.8274,-97.5094)",AZLE ISD,9096,45,0.21875667,0.15563932,0.94018353,0.05610059,1147,95587,0.10477734,0.10162839,0,21,1,166.4473684,33.55263158,0.08711574,4.63406549,6,9,0,0,0.09566853,0,0.06293826,0.0637934,0,0
3858 COLTON CT,76040,55:25.3,2017,Centreport,32.8187,-97.0659,"(32.8187,-97.0659)",HURST EULESS BEDFORD ISD,4736,30,0.20496781,0.01773565,0.92696883,0.05845026,23474,45417,1,0.09258803,0,25,0,50.93080436,10.71303126,0.15849806,6.16969938,29,0,4,0,0,4,0,0.3876789,0,0
2625 FOREST AVE,76112,55:25.3,2017,Handley,32.7414,-97.218,"(32.7414,-97.218)",FORT WORTH ISD,9226,37,0.24860721,0.14609761,0.76755767,0.08298799,1344,42680,0.28815956,0.12988104,0,50,40,60.85234969,21.36084193,0.30323701,9.10233495,3,27,10,0,0.03328315,4,0.50173423,0.72436592,0.73704747,0
5512 BOCA RATON BLVD,76112,55:25.3,2017,Woodhaven,32.7635,-97.2352,"(32.7635,-97.2352)",FORT WORTH ISD,9151,30,0.23488236,0.05887076,0.82039433,0.10573715,1842,27647,0.82118622,0.27309916,0,35,8,88.56624319,36.05565638,0.2975138,9.31848892,16,17,24,0,0,0,0.70276473,0.21309147,1,0
2574 GRAVEL DR,76118,55:25.3,2017,Gateway Park\ Riverbend,32.797,-97.2162,"(32.797,-97.2162)",,3866,46,0.18720799,0.21151646,0.82538263,0.0494303,7852,66416,0.31175369,0.16305113,0,42,6,72.80022929,18.05674979,0.18017719,8.00976909,14,14,6,0,0.06716557,0,0.40170719,0.81479565,0.79022245,0
302 NURSERY LN UNIT 104,76114,55:25.3,2017,Northside,32.7563,-97.3963,"(32.7563,-97.3963)",CASTLEBERRY ISD,40387,32,0.29690744,0.10599852,0.49967782,0.08140469,8414,34654,0.39940186,0.0884652,0,63,89,57.06581689,20.81137394,0.38927818,9.49733611,16,85,42,0,0.06956825,7,0.80350903,0.84643025,0.90166778,0
