Day,RFD,BPD,TRD_hi,TRD_lo,WRD
1,0.04,29.96,39.4,34.9,6
2,0,30.17,53.3,35.1,4
3,0,30.02,64.1,34.9,4
4,0,30.12,65.7,37.2,2
5,0,30.13,65.7,35.8,4
6,0.02,29.95,58,43.6,7
7,0,30.13,47.5,41.6,7
8,0,30.35,49.2,34,4
9,0,30.38,48.1,28,3
10,0.08,30.4,37.8,33.3,4
11,0.01,30.44,47.6,31.3,2
12,0,30.38,53,29.4,3
13,0,30.11,62.4,33.8,4
14,0,29.93,62.8,41.9,7
15,0,30.07,52.1,40.3,8
16,0,30.11,55.5,30.7,3
17,0,30.12,58.6,38.2,3
18,0,30.03,67.5,37.9,5
19,0.11,30.32,58.4,48,6
20,0.34,30.32,48.6,43.6,2
21,0.01,29.99,53.6,45.1,2
22,0,30.03,51.4,46.6,5
23,0.08,30.07,51.7,45,5
24,0.14,29.91,61.7,50.4,5
25,0.05,29.71,67.6,46.4,6
26,0,29.96,56.9,36,4
27,0,30.35,49,34.4,6
28,0,30.57,48.4,28,4
29,0,30.25,59.6,37.6,5
30,0.1,29.81,73.9,50.8,11
31,0,30.22,56.7,40.2,8
32,0,30.42,58.1,33.7,4
33,0,30.24,61.8,40,4
34,0,29.97,69.4,42,9
35,0,29.83,63.5,44.5,8
36,0,29.98,57.3,37.3,4
37,0,29.93,55.1,39.7,6
38,0,30.03,56.6,35.7,6
39,0.01,29.98,64.7,37.9,6
40,0,30.19,37.9,28.9,6
41,0,30.22,30.3,26.7,6
42,0,30.27,27.3,22.9,7
43,0,30.33,25.2,21.2,7
44,0,30.32,32.5,18.8,7
45,0,30.35,20.2,8.5,8
46,0,30.42,14.4,2.7,9
47,0,30.26,12.9,-2,4
48,0,30.21,28,21.3,4
49,0.08,30.44,31.4,21.4,6
50,0.25,30.52,39.6,15.5,3
51,0,30.29,55.2,25.6,6
52,0,30.07,72.7,44.1,8
53,0,30.21,70.3,35.7,3
54,0,30.25,79.4,40.7,6
55,0,30.04,79.4,40.7,5
56,0.96,30.17,75.8,44.5,5
57,1.25,29.98,57,44.3,2
58,0.02,29.89,68,50.6,5
59,0.26,29.88,75.1,48.7,6
60,0.17,30.25,59,43.8,5
61,0,30.26,62.6,37.6,2
62,0,30.15,71,42.7,4
63,0,30.06,74.2,44.2,6
64,0,30,65.8,49.3,7
65,0,30.32,65.3,41.9,4
66,0,30.35,67.6,39.4,4
67,0,30.34,71,43.9,6
68,0,30.16,70.9,55.6,10
69,0,29.98,74,62,11
70,0,30.03,77,69.4,8
71,0,30.1,76.7,65.9,8
72,0,30.01,77.3,65.6,9
73,0.17,29.85,73.2,55.1,5
74,0,29.84,80,50.7,5
75,0,29.74,81,56.7,6
76,0.59,29.7,71.4,46.7,10
77,0,30.15,60.7,42.2,8
78,0,30.3,65.7,40.7,5
79,0,30.28,68.1,44.2,5
80,0,30.12,69.2,44.3,8
81,1.09,29.81,64.8,53.8,8
82,0,29.71,73.3,48,6
83,0.33,29.75,78.8,49.2,7
84,0.33,29.78,67.5,51.1,5
85,0,29.89,79.5,46.5,5
86,0,29.84,82.7,55.8,5
87,0,30.21,73,51.5,6
88,0,30.06,78.1,49.2,7
89,0.1,29.84,77,57.6,7
90,0,30.24,67.4,51.9,8
91,0,30.46,68.1,41.8,3
92,0,30.34,69.3,42.9,5
93,0,30.26,70.1,56.1,6
94,0,30.19,72.5,58.1,5
95,0,29.99,78,56.7,7
96,0,29.78,82.4,63.7,10
97,0,29.75,77.6,57.9,8
98,0,29.77,83.8,51.5,3
99,0,29.58,83.8,62.9,7
100,0,29.82,72.3,51.3,5
101,0,29.7,86.3,51.5,4
102,0,29.75,86.5,63,5
103,0.22,29.94,81.4,55.2,5
104,0,29.99,71.1,56.2,6
105,0.59,29.99,62.1,54.5,7
106,0.73,29.86,58,52.2,5
107,0,30.08,61.2,46.3,5
108,0,30.11,68.1,44.7,3
109,0.01,30.02,74.2,45.7,2
110,0,30.08,61.7,41.7,5
111,0,30.28,62,35,2
112,0,30.09,64.4,53,4
113,0.57,29.77,70.3,60.5,5
114,0.28,29.86,69.8,53.6,3
115,0,29.95,81.8,50.3,5
116,0,29.82,81.8,62.6,9
117,0,29.77,75.3,67.1,8
118,0.03,29.72,80,71.4,4
119,1.78,29.92,73,63.5,4
120,0.06,30.1,67.9,60.4,6
121,0.02,29.95,76.4,61.3,4
122,0.01,29.58,80.9,63.9,4
123,0.24,29.5,90.8,67.5,7
124,0,29.86,73,57.1,4
125,0,30.11,76.1,48.9,3
126,0,30.16,82.5,56.5,2
127,0,30.06,86.3,58.9,5
128,0,29.8,87.2,62.4,9
129,0,29.75,84.1,62.8,6
130,0.81,29.97,62.8,55.5,5
131,0.82,30.01,59.7,55.1,5
132,0.23,30.21,62.3,54.6,3
133,0,30.26,74.8,58.6,3
134,0,30.16,79.4,56.7,5
135,0,30.03,83.8,61.7,6
136,2.12,29.94,73.7,67.4,5
137,0.27,29.82,80.1,64.4,4
138,0.4,29.83,71.1,62.2,3
139,0,29.84,83.1,63.7,3
140,0.11,29.9,76.4,65.8,3
141,0,30.03,84.5,69.2,5
142,0.29,30.14,76.7,69,6
143,0.03,30.12,78,67.6,3
144,0.23,30.04,78.8,67.2,4
145,0.33,29.98,79.7,67.6,4
146,0,30.02,91.8,71.8,5
147,0,29.92,88,74.5,6
148,0.11,29.96,81.5,65.3,3
149,0,29.98,82.5,64.8,5
150,0,30.09,75.8,61.1,7
151,1.87,30.07,71.9,64.2,4
152,0.04,30.04,70.9,62.3,2
153,0,29.98,81.2,59.3,2
154,0,29.97,82.9,62.9,2
155,0,29.98,81.3,64.9,3
156,6.46,29.87,85.6,64.5,3
157,0.04,29.78,88.4,64.7,4
158,2.14,29.79,78.3,67.5,3
159,0.02,29.86,88.3,71.7,5
160,0,30.07,90.1,75.7,5
161,0,29.89,92.5,76.9,5
162,0,29.82,93.2,77.2,6
163,0.62,29.92,89.1,69.1,2
164,0,29.94,96.5,75.6,1
165,0,29.95,96.4,79.4,4
166,0,30.01,95.9,72.5,2
167,0,30.01,97.5,71.9,2
168,0,29.97,98.1,74.8,2
169,0,29.92,93.7,77.7,4
170,0,29.85,94.3,69.5,3
171,0,29.76,96.1,77.8,6
172,0.13,29.85,90.5,67,6
173,0,30,85.9,65.4,5
174,0,29.94,95.8,74.1,6
175,0,29.92,95.8,78,7
176,0,29.88,95.2,78.7,7
177,0,29.85,95,77.3,7
178,0,29.91,93.5,77.5,5
179,0.24,29.97,87.4,73.7,3
180,0.38,30.06,90.3,72.9,4
181,0,30.07,91.7,73.2,2
182,0.07,29.94,96.1,76.3,3
183,0.9,29.96,85.1,74.5,2
184,0,29.99,82.7,72.9,5
185,0,29.96,88.8,75,3
186,0,29.95,89.4,73.1,4
187,0,29.95,92.8,73,2
188,0.19,29.92,94.4,73.7,2
189,0,29.93,93.6,73.9,3
190,0.01,30.02,88.3,74.2,5
191,0,29.98,92.5,74.1,5
192,0.57,29.95,90.8,69.3,3
193,0,30.03,91.7,69.9,2
194,0,30.12,94.2,72.6,4
195,0,30.12,92.1,71.6,5
196,0,30.03,93.1,73.5,6
197,0,29.96,93.5,75.7,5
198,0,30.01,93.3,78,5
199,0.38,30.04,96,76.2,3
200,1.45,30.02,83.3,72.2,1
201,0.01,30,89.1,71.5,3
202,0,30.04,89.8,71.9,3
203,0,30.09,93.8,71.5,3
204,0,30.06,93.8,76.1,4
205,0,29.99,97.3,78,4
206,0,29.94,99.4,78.1,4
207,0,29.92,101.2,77.1,2
208,0,29.95,99.3,79.5,3
209,0,30,98.9,77.7,3
210,0,30.02,97.7,75.9,2
211,0,30.02,97.5,77.7,2
212,0,30,100,78.8,3
213,1.03,29.99,95.6,73.6,2
214,0.16,30.01,87.2,73.3,2
215,0,29.99,91.2,70.8,2
216,0,30.03,90.1,72.6,2
217,0,30.05,91.6,74.2,4
218,0,30.01,94.1,73.4,4
219,0,29.94,94,74.5,6
220,0,29.89,95.7,77.8,7
221,0,29.93,97.7,78.5,7
222,0,30,96.9,77.7,7
223,0,29.99,97.5,77.5,6
224,0,30,98.1,78.9,5
225,0,30.06,97,78.2,3
226,0.69,30.12,87.9,71.7,3
227,0,30.02,89.6,74.4,2
228,0.05,29.92,92.9,74.1,3
229,1.45,29.91,86.9,71.4,3
230,1.03,29.98,80.6,72.4,4
231,0.09,29.95,93.2,73.8,5
232,0,29.87,96.1,77.2,6
233,0,29.89,97.2,79.2,4
234,0,29.96,97.3,78.4,4
235,0,29.96,97.7,77.5,4
236,0,29.95,97.6,77,4
237,0,30,98.4,75.9,2
238,0,29.99,96.6,77.7,3
239,0,29.95,92.4,75.7,4
240,0,29.96,91.8,73.6,4
241,0,29.95,90.8,75.4,3
242,0,29.84,94.5,74.8,2
243,0,29.75,99.1,76.4,2
244,0,29.79,97.2,79.9,2
245,0,29.87,96.4,77.9,3
246,0,29.92,96.1,77.7,4
247,0,29.89,98.2,76.9,3
248,0,29.89,91.8,79.4,2
249,0,29.97,94.2,75,3
250,0,29.93,95.2,67,2
251,0.08,29.95,92.2,68.8,3
252,0,30.04,91.7,67.6,4
253,0,30.06,92.3,69.5,4
254,0,30.08,90.7,68.2,3
255,0,30.09,89.7,65.5,3
256,0.01,30.03,88.2,72,3
257,0,29.93,86.4,70.1,4
258,0,29.91,89.1,66.9,3
259,0,29.9,90.7,69.7,3
260,0,29.97,91.3,69.3,2
261,0,30.01,94.9,70.8,2
262,0,29.91,93.4,71.7,2
263,0,29.82,100.3,74.4,5
264,0,30.06,86.6,69.4,5
265,0,30.26,82.5,58.7,3
266,0,30.11,84.4,55.1,1
267,0,30.06,87.1,55.5,2
268,0,30.08,91,60.1,2
269,0,30.04,91.2,64,3
270,0,29.97,88,63.1,3
271,0,29.87,93.2,68.1,3
272,0,29.83,90.4,70.4,4
273,0,29.95,87.7,70.7,4
274,0.13,30.04,80.2,66.8,2
275,0.86,30.03,82.7,68.8,1
276,0,30.03,85.6,64.2,1
277,0,30.04,87.5,59.7,2
278,0,30.05,86.1,60.1,2
279,0,30.04,86.3,57.2,1
280,0,30.04,90.9,59.4,3
281,0,30,92,67,5
282,0,29.9,92.2,68.4,6
283,0.84,29.71,90.8,63.5,9
284,0,29.83,80.9,60.7,3
