Day,RFD,BPD,TRD_hi,TRD_lo,WRD
1,0.04,29.96,39.4,34.9,6
6,0.02,29.95,58,43.6,7
10,0.08,30.4,37.8,33.3,4
11,0.01,30.44,47.6,31.3,2
19,0.11,30.32,58.4,48,6
20,0.34,30.32,48.6,43.6,2
21,0.01,29.99,53.6,45.1,2
23,0.08,30.07,51.7,45,5
24,0.14,29.91,61.7,50.4,5
25,0.05,29.71,67.6,46.4,6
30,0.1,29.81,73.9,50.8,11
39,0.01,29.98,64.7,37.9,6
49,0.08,30.44,31.4,21.4,6
50,0.25,30.52,39.6,15.5,3
56,0.96,30.17,75.8,44.5,5
57,1.25,29.98,57,44.3,2
58,0.02,29.89,68,50.6,5
59,0.26,29.88,75.1,48.7,6
60,0.17,30.25,59,43.8,5
73,0.17,29.85,73.2,55.1,5
76,0.59,29.7,71.4,46.7,10
81,1.09,29.81,64.8,53.8,8
83,0.33,29.75,78.8,49.2,7
84,0.33,29.78,67.5,51.1,5
89,0.1,29.84,77,57.6,7
103,0.22,29.94,81.4,55.2,5
105,0.59,29.99,62.1,54.5,7
106,0.73,29.86,58,52.2,5
109,0.01,30.02,74.2,45.7,2
113,0.57,29.77,70.3,60.5,5
114,0.28,29.86,69.8,53.6,3
118,0.03,29.72,80,71.4,4
119,1.78,29.92,73,63.5,4
120,0.06,30.1,67.9,60.4,6
121,0.02,29.95,76.4,61.3,4
122,0.01,29.58,80.9,63.9,4
123,0.24,29.5,90.8,67.5,7
130,0.81,29.97,62.8,55.5,5
131,0.82,30.01,59.7,55.1,5
132,0.23,30.21,62.3,54.6,3
136,2.12,29.94,73.7,67.4,5
137,0.27,29.82,80.1,64.4,4
138,0.4,29.83,71.1,62.2,3
140,0.11,29.9,76.4,65.8,3
142,0.29,30.14,76.7,69,6
143,0.03,30.12,78,67.6,3
144,0.23,30.04,78.8,67.2,4
145,0.33,29.98,79.7,67.6,4
148,0.11,29.96,81.5,65.3,3
151,1.87,30.07,71.9,64.2,4
152,0.04,30.04,70.9,62.3,2
156,6.46,29.87,85.6,64.5,3
157,0.04,29.78,88.4,64.7,4
158,2.14,29.79,78.3,67.5,3
159,0.02,29.86,88.3,71.7,5
163,0.62,29.92,89.1,69.1,2
172,0.13,29.85,90.5,67,6
179,0.24,29.97,87.4,73.7,3
180,0.38,30.06,90.3,72.9,4
182,0.07,29.94,96.1,76.3,3
183,0.9,29.96,85.1,74.5,2
188,0.19,29.92,94.4,73.7,2
190,0.01,30.02,88.3,74.2,5
192,0.57,29.95,90.8,69.3,3
199,0.38,30.04,96,76.2,3
200,1.45,30.02,83.3,72.2,1
201,0.01,30,89.1,71.5,3
213,1.03,29.99,95.6,73.6,2
214,0.16,30.01,87.2,73.3,2
